date,name,value,description
2023-09-13,asr - Omitted due to Privacy Reasons,12.2,asr - Omitted due to Privacy Reasons
2023-09-12,geldmaat - Omitted due to Privacy Reasons,-18.43,geldmaat - Omitted due to Privacy Reasons
2023-09-12,Albert Heijn - Omitted due to Privacy Reasons,-13.26,Albert Heijn - Omitted due to Privacy Reasons
2023-09-12,Netflix - Omitted due to Privacy Reasons,3.8,Netflix - Omitted due to Privacy Reasons
2023-09-10,thuisbezorgd - Omitted due to Privacy Reasons,-12.55,thuisbezorgd - Omitted due to Privacy Reasons
2023-09-10,JOOP SCHOORL - Omitted due to Privacy Reasons,-31.63,JOOP SCHOORL - Omitted due to Privacy Reasons
2023-09-10,Tinq - Omitted due to Privacy Reasons,-53.81,Tinq - Omitted due to Privacy Reasons
2023-09-09,Albert Heijn - Omitted due to Privacy Reasons,-8.84,Albert Heijn - Omitted due to Privacy Reasons
2023-09-09,HAZ B.V - Omitted due to Privacy Reasons,-7.71,HAZ B.V - Omitted due to Privacy Reasons
2023-09-09,Parkeren - Omitted due to Privacy Reasons,-6.54,Parkeren - Omitted due to Privacy Reasons
2023-09-09,OranjePakket - Omitted due to Privacy Reasons,-3.02,OranjePakket - Omitted due to Privacy Reasons
2023-09-08,blokker - Omitted due to Privacy Reasons,-22.39,blokker - Omitted due to Privacy Reasons
2023-09-08,Albert Heijn - Omitted due to Privacy Reasons,-17.31,Albert Heijn - Omitted due to Privacy Reasons
2023-09-08,amazon - Omitted due to Privacy Reasons,-3.14,amazon - Omitted due to Privacy Reasons
2023-09-07,bar - Omitted due to Privacy Reasons,-90.75,bar - Omitted due to Privacy Reasons
2023-09-07,asr - Omitted due to Privacy Reasons,-5.73,asr - Omitted due to Privacy Reasons
2023-09-07,Swapfiets - Omitted due to Privacy Reasons,-68.62,Swapfiets - Omitted due to Privacy Reasons
2023-09-07,Netflix - Omitted due to Privacy Reasons,-26.08,Netflix - Omitted due to Privacy Reasons
2023-09-06,Albert Heijn - Omitted due to Privacy Reasons,-25.0,Albert Heijn - Omitted due to Privacy Reasons
2023-09-06,its a present - Omitted due to Privacy Reasons,-6.57,its a present - Omitted due to Privacy Reasons
2023-09-06,broodje ben - Omitted due to Privacy Reasons,-7.47,broodje ben - Omitted due to Privacy Reasons
2023-09-06,bever - Omitted due to Privacy Reasons,-46.44,bever - Omitted due to Privacy Reasons
2023-09-06,Albert Heijn - Omitted due to Privacy Reasons,-0.58,Albert Heijn - Omitted due to Privacy Reasons
2023-09-06,asr - Omitted due to Privacy Reasons,32.89,asr - Omitted due to Privacy Reasons
2023-09-05,Albert Heijn - Omitted due to Privacy Reasons,-11.67,Albert Heijn - Omitted due to Privacy Reasons
2023-09-05,booking - Omitted due to Privacy Reasons,-166.95,booking - Omitted due to Privacy Reasons
2023-09-04,AH to go - Omitted due to Privacy Reasons,-2.73,AH to go - Omitted due to Privacy Reasons
2023-09-04,klein paleis - Omitted due to Privacy Reasons,-28.03,klein paleis - Omitted due to Privacy Reasons
2023-09-03,thuisbezorgd - Omitted due to Privacy Reasons,-17.14,thuisbezorgd - Omitted due to Privacy Reasons
2023-09-01,Albert Heijn - Omitted due to Privacy Reasons,-25.11,Albert Heijn - Omitted due to Privacy Reasons
2023-09-01,inShared - Omitted due to Privacy Reasons,-42.33,inShared - Omitted due to Privacy Reasons
2023-09-01,Pontiac - Omitted due to Privacy Reasons,-1635.87,Pontiac - Omitted due to Privacy Reasons
2023-09-01,Nationale Nederlanden - Omitted due to Privacy Reasons,-112.83,Nationale Nederlanden - Omitted due to Privacy Reasons
2023-08-31,asr - Omitted due to Privacy Reasons,-8.1,asr - Omitted due to Privacy Reasons
2023-08-30,Geneente Utrecht - Omitted due to Privacy Reasons,-10.33,Geneente Utrecht - Omitted due to Privacy Reasons
2023-08-30,thuisbezorgd - Omitted due to Privacy Reasons,-18.24,thuisbezorgd - Omitted due to Privacy Reasons
2023-08-30,asr - Omitted due to Privacy Reasons,-522.5,asr - Omitted due to Privacy Reasons
2023-08-30,Wereld Natuur Fonds - Omitted due to Privacy Reasons,-20.13,Wereld Natuur Fonds - Omitted due to Privacy Reasons
