Datum,Tijd,Naam,ISIN,Aantal,Prijs,Transaction Costs,Munteenheid
30/08/2022,12:56,VANGUARD FTSE AW,IE00B3RBWM25,3,102.84,,EUR
30/08/2022,12:55,ISHARES MSCI WOR A,IE00B4L5Y983,6,75.19,,EUR
30/08/2022,12:53,VANGUARD S&P500,IE00B3XXRP09,3,76.95,,EUR
29/07/2022,14:19,VANGUARD FTSE AW,IE00B3RBWM25,6,102.08,,EUR
29/07/2022,14:18,ISHARES MSCI WOR A,IE00B4L5Y983,25,74.8,,EUR
29/07/2022,14:18,VANGUARD S&P500,IE00B3XXRP09,8,76.196,,EUR
20/06/2022,10:11,ISHARES MSCI WOR A,IE00B4L5Y983,38,66.34,,EUR
20/06/2022,10:11,VANGUARD S&P500,IE00B3XXRP09,7,66.517,,EUR
24/05/2022,14:57,VANGUARD FTSE AW,IE00B3RBWM25,4,96.74,,EUR
24/05/2022,14:57,ISHARES MSCI WOR A,IE00B4L5Y983,25,69.865,,EUR
24/05/2022,14:57,VANGUARD S&P500,IE00B3XXRP09,5,69.79,,EUR
28/04/2022,13:55,VANGUARD FTSE AW,IE00B3RBWM25,7,103.92,,EUR
28/04/2022,13:49,VANGUARD S&P500,IE00B3XXRP09,5,76.71,,EUR
28/04/2022,13:49,MULTI NASDAQ 100,LU1829221024,6,50.31,,EUR
28/04/2022,13:49,MULTI NASDAQ 100,LU1829221024,2,50.31,,EUR
28/04/2022,13:47,VANECK SEMICONDUCTOR UCITS ETF,IE00BMC38736,20,21.345,,EUR
28/04/2022,13:45,ISHARES MSCI WOR A,IE00B4L5Y983,6,75.38,,EUR
28/03/2022,09:52,VANECK SEMICONDUCTOR UCITS ETF,IE00BMC38736,6,24.18,,EUR
28/03/2022,09:41,VANGUARD FTSE AW,IE00B3RBWM25,9,106.28,,EUR
28/03/2022,09:41,MULTI NASDAQ 100,LU1829221024,5,53.419,,EUR
28/03/2022,09:41,ISHARES MSCI WOR A,IE00B4L5Y983,8,77.12,,EUR
28/03/2022,09:41,VANGUARD S&P500,IE00B3XXRP09,7,78.448,,EUR
25/02/2022,12:48,VANECK SEMICONDUCTOR UCITS ETF,IE00BMC38736,7,22.71,,EUR
25/02/2022,12:41,VANGUARD FTSE AW,IE00B3RBWM25,8,100.7,,EUR
25/02/2022,12:41,ISHARES MSCI WOR A,IE00B4L5Y983,4,72.2,,EUR
25/02/2022,12:41,VANGUARD S&P500,IE00B3XXRP09,5,72.494,,EUR
26/01/2022,13:23,VANGUARD S&P500,IE00B3XXRP09,3,74.19,,EUR
26/01/2022,13:23,MULTI NASDAQ 100,LU1829221024,7,50.73,,EUR
26/01/2022,13:16,VANECK SEMICONDUCTOR UCITS ETF,IE00BMC38736,7,23.18,,EUR
26/01/2022,13:16,VANGUARD FTSE AW,IE00B3RBWM25,3,103.44,,EUR
27/12/2021,16:19,VANECK SEMICONDUCTOR UCITS ETF,IE00BMC38736,24,26.53,,EUR
27/12/2021,15:53,MULTI NASDAQ 100,LU1829221024,2,57.6,,EUR
27/12/2021,15:53,VANGUARD FTSE AW,IE00B3RBWM25,2,109,,EUR
27/12/2021,15:52,VANGUARD S&P500,IE00B3XXRP09,3,79.59,,EUR
