Day of Year,Name,Code,Volume,Price,Currency,Transaction Costs,,Total,,Order ID
26/11/2021,VANGUARD S&P500,IE00B3XXRP09,1,77.88,EUR,,EUR,-77.88,EUR,840460d9-fe92-4132-ac40-d9edbe3ce3ba
26/11/2021,MULTI NASDAQ 100,LU1829221024,1,57.19,EUR,,EUR,-57.19,EUR,1b8d22a9-4f94-4170-9e90-49cb187ef740
26/11/2021,ISHARES MSCI WOR A,IE00B4L5Y983,4,77.15,EUR,,EUR,-308.6,EUR,43599d93-766b-48b8-9ffb-bac78e52ed71
26/11/2021,VANGUARD FTSE AW,IE00B3RBWM25,5,107.4,EUR,,EUR,-537,EUR,76cb64c2-f6c5-4973-82b9-819d523dd0c7
26/10/2021,ISHARES MSCI WOR A,IE00B4L5Y983,3,75.38,EUR,,EUR,-226.14,EUR,82ff60c0-321d-4024-b342-15f388838d53
26/10/2021,VANGUARD FTSE AW,IE00B3RBWM25,2,105.76,EUR,,EUR,-211.52,EUR,5ccdb365-662e-475c-9896-3ace68ec9ee6
26/10/2021,VANECK SEMICONDUCTOR UCITS ETF,IE00BMC38736,4,22.3,EUR,,EUR,-89.2,EUR,beca1884-0a60-4429-adcb-d74a22b2e18e
26/10/2021,VANGUARD FTSE AW,IE00B3RBWM25,2,105.76,EUR,,EUR,-211.52,EUR,5ccdb365-662e-475c-9896-3ace68ec9ee6
26/10/2021,VANECK VIDEO GAMING AND ESPORTS UCITS ETF,IE00BYWQWR46,1,36.85,EUR,,EUR,-36.85,EUR,b0532282-9ee8-44e3-8f91-89c3c3bc9766
26/10/2021,MULTI NASDAQ 100,LU1829221024,2,53.26,EUR,,EUR,-106.52,EUR,a7227fdd-075e-4e9e-9208-a3e5e5d39092
26/10/2021,VANGUARD S&P500,IE00B3XXRP09,2,74.82,EUR,,EUR,-149.64,EUR,55dc5a18-ff5e-424c-8096-2a16b3561220
27/09/2021,VANGUARD FTSE AW,IE00B3RBWM25,3,102.9,EUR,,EUR,-308.7,EUR,28486c07-4a87-4118-b124-24dc893aa4c8
27/09/2021,ISHARES MSCI WOR A,IE00B4L5Y983,3,73.335,EUR,,EUR,-220.01,EUR,78912679-5d46-49a8-a536-f9cad46c2d21
27/09/2021,VANGUARD S&P500,IE00B3XXRP09,4,72.39,EUR,,EUR,-289.56,EUR,a1851bf0-f72c-4fdb-93b6-bacdd197e7dc
26/08/2021,ISHARES MSCI WOR A,IE00B4L5Y983,4,72.98,EUR,,EUR,-291.92,EUR,43511149-39e3-4e9f-bdf5-96ccab70902b
26/08/2021,MULTI NASDAQ 100,LU1829221024,3,51.64,EUR,,EUR,-154.92,EUR,c07faebe-757a-43ef-bdf4-08a9db793f14
26/08/2021,VANGUARD FTSE AW,IE00B3RBWM25,4,102.74,EUR,,EUR,-410.96,EUR,a317f6f1-9127-40a1-919b-9b7cc92630db
26/08/2021,VANGUARD S&P500,IE00B3XXRP09,1,72.466,EUR,,EUR,-72.47,EUR,e244fa5a-1c05-4c1b-a304-fec4e54b7204
